Identifiant arc,Date debut dispo data,Date fin dispo data,Libelle,Identifiant noeud aval,Libelle noeud aval,Identifiant noeud amont,Libelle noeud amont,geo_point_2d long,geo_point_2d lat,geo_shape
4618,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Cours Albert 1er_VGP,2467,Cours_Albert_Ier-VGP,163,Souterrain_Cours_la_Reine,48.8646574501162,2.304917795465954,"{""coordinates"": [[2.306290231734227, 48.864693399706695], [2.303545359197681, 48.86462150052571]], ""type"": ""LineString""}"
6854,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Av_Nations_Unies,3448,Albert_de_Mun-Iena,2426,Pl_de_Varsovie,48.86192094970646,2.2917346915524686,"{""coordinates"": [[2.291463465876688, 48.86101156930967], [2.292005917228249, 48.86283033010325]], ""type"": ""LineString""}"
273,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Cours_la_Reine,134,Pt_Concorde_Droite,163,Souterrain_Cours_la_Reine,48.86435384341223,2.319154157037448,"{""coordinates"": [[2.318340929827968, 48.86469136942506], [2.3185894305499373, 48.86453096486999], [2.319994679532606, 48.86407371579538]], ""type"": ""LineString""}"
5873,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Cours_La_Reine,2469,Pl_du_Canada,164,Pl_Canada-Winston_Churchill,48.86496171623939,2.3119334871704407,"{""coordinates"": [[2.313573746239876, 48.86500448066624], [2.310293228101005, 48.86491895181255]], ""type"": ""LineString""}"
5356,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,PI_Menilmontant,2833,SI_Bagnolet-Bretelle_9,2832,PI_Frapie,48.87054925640443,2.4130423679024298,"{""coordinates"": [[2.412453792911036, 48.87236584472591], [2.412997015362721, 48.87135679583531], [2.413218893261007, 48.870325762867246], [2.413213221757645, 48.868632727406]], ""type"": ""LineString""}"
5355,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,PI_Leon_Frapie,2832,PI_Frapie,781,AI_Lilas,48.87399749495503,2.411160059682088,"{""coordinates"": [[2.40989952761403, 48.87565361205898], [2.410270589093385, 48.87510879144323], [2.412453792911036, 48.87236584472591]], ""type"": ""LineString""}"
5333,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,PI_Lagny,533,SI_Vincennes,773,AI_Montreuil,48.85038153877372,2.415013682752968,"{""coordinates"": [[2.414853828647489, 48.851950228699934], [2.414954750553612, 48.85177122105816], [2.415147041614957, 48.851321919711374], [2.41520036937262, 48.85081779788426], [2.414753487496268, 48.84877581258394]], ""type"": ""LineString""}"
5202,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,PI_Louis_Vicat,632,AI_Brancion,631,SI_Plaine,48.82634276835861,2.297656587672952,"{""coordinates"": [[2.299019992035776, 48.82604275566805], [2.296293183310128, 48.826642781049145]], ""type"": ""LineString""}"
1011,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Pl_25_Aout_1944,416,Pl_25_Aout_1944-Av_Gal_Leclerc,431,Pl_25_Aout_1944-Pte_Orleans,48.8225224101607,2.325528918839007,"{""coordinates"": [[2.325429853646621, 48.821968340762936], [2.3256279840313923, 48.82307647955846]], ""type"": ""LineString""}"
1192,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Georges_Lafenestre,591,Bd_Brune-Didot,655,Av_G_Lafenestre-M_Sagnier,48.82552067202777,2.311936140629504,"{""coordinates"": [[2.31128360337861, 48.82505915556245], [2.312588677880397, 48.82598218849309]], ""type"": ""LineString""}"
352,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Grenelle,204,Bellechasse-Grenelle,203,Bac-Grenelle,48.855831179419965,2.322852160341719,"{""coordinates"": [[2.324529019219317, 48.85502452408664], [2.323688814776942, 48.85551125766783], [2.322568116222826, 48.85600661425925], [2.32110719801684, 48.85648287083952]], ""type"": ""LineString""}"
